,Country,Gender,Sector,Job Seniority,Company Size,Age Ranges,Connectivity Status,Count
116,PHL,Any Gender,IT,Owner,"10,001+ employees",25 to 34,connected to big companies,0
117,PHL,Any Gender,IT,Owner,"10,001+ employees",25 to 34,connected to any,790
118,PHL,Any Gender,IT,Owner,"10,001+ employees",18 to 24,connected to big companies,0
119,PHL,Any Gender,IT,Owner,"10,001+ employees",18 to 24,connected to any,0
120,PHL,Any Gender,IT,Owner,"5001-10,000 employees",Any Age Range,connected to big companies,0
121,PHL,Any Gender,IT,Owner,"5001-10,000 employees",Any Age Range,connected to any,420
122,PHL,Any Gender,IT,Owner,"5001-10,000 employees",55+,connected to big companies,0
123,PHL,Any Gender,IT,Owner,"5001-10,000 employees",55+,connected to any,0
124,PHL,Any Gender,IT,Owner,"5001-10,000 employees",35 to 54,connected to big companies,0
125,PHL,Any Gender,IT,Owner,"5001-10,000 employees",35 to 54,connected to any,0
126,PHL,Any Gender,IT,Owner,"5001-10,000 employees",25 to 34,connected to big companies,0
127,PHL,Any Gender,IT,Owner,"5001-10,000 employees",25 to 34,connected to any,0
128,PHL,Any Gender,IT,Owner,"5001-10,000 employees",18 to 24,connected to big companies,0
129,PHL,Any Gender,IT,Owner,"5001-10,000 employees",18 to 24,connected to any,0
130,PHL,Any Gender,IT,Owner,1001-5000 employees,Any Age Range,connected to big companies,0
131,PHL,Any Gender,IT,Owner,1001-5000 employees,Any Age Range,connected to any,630
132,PHL,Any Gender,IT,Owner,1001-5000 employees,55+,connected to big companies,0
133,PHL,Any Gender,IT,Owner,1001-5000 employees,55+,connected to any,0
134,PHL,Any Gender,IT,Owner,1001-5000 employees,35 to 54,connected to big companies,0
135,PHL,Any Gender,IT,Owner,1001-5000 employees,35 to 54,connected to any,0
136,PHL,Any Gender,IT,Owner,1001-5000 employees,25 to 34,connected to big companies,0
137,PHL,Any Gender,IT,Owner,1001-5000 employees,25 to 34,connected to any,310
138,PHL,Any Gender,IT,Owner,1001-5000 employees,18 to 24,connected to big companies,0
139,PHL,Any Gender,IT,Owner,1001-5000 employees,18 to 24,connected to any,0
140,PHL,Any Gender,IT,Owner,501-1000 employees,Any Age Range,connected to big companies,0
141,PHL,Any Gender,IT,Owner,501-1000 employees,Any Age Range,connected to any,970
142,PHL,Any Gender,IT,Owner,501-1000 employees,55+,connected to big companies,0
143,PHL,Any Gender,IT,Owner,501-1000 employees,55+,connected to any,0
144,PHL,Any Gender,IT,Owner,501-1000 employees,35 to 54,connected to big companies,0
145,PHL,Any Gender,IT,Owner,501-1000 employees,35 to 54,connected to any,390
146,PHL,Any Gender,IT,Owner,501-1000 employees,25 to 34,connected to big companies,0
147,PHL,Any Gender,IT,Owner,501-1000 employees,25 to 34,connected to any,470
148,PHL,Any Gender,IT,Owner,501-1000 employees,18 to 24,connected to big companies,0
149,PHL,Any Gender,IT,Owner,501-1000 employees,18 to 24,connected to any,0
150,PHL,Any Gender,IT,Owner,201-500 employees,Any Age Range,connected to big companies,0
151,PHL,Any Gender,IT,Owner,201-500 employees,Any Age Range,connected to any,720
152,PHL,Any Gender,IT,Owner,201-500 employees,55+,connected to big companies,0
153,PHL,Any Gender,IT,Owner,201-500 employees,55+,connected to any,0
154,PHL,Any Gender,IT,Owner,201-500 employees,35 to 54,connected to big companies,0
155,PHL,Any Gender,IT,Owner,201-500 employees,35 to 54,connected to any,0
156,PHL,Any Gender,IT,Owner,201-500 employees,25 to 34,connected to big companies,0
157,PHL,Any Gender,IT,Owner,201-500 employees,25 to 34,connected to any,330
158,PHL,Any Gender,IT,Owner,201-500 employees,18 to 24,connected to big companies,0
159,PHL,Any Gender,IT,Owner,201-500 employees,18 to 24,connected to any,0
160,PHL,Any Gender,IT,Owner,51-200 employees,Any Age Range,connected to big companies,370
161,PHL,Any Gender,IT,Owner,51-200 employees,Any Age Range,connected to any,1400
162,PHL,Any Gender,IT,Owner,51-200 employees,55+,connected to big companies,0
163,PHL,Any Gender,IT,Owner,51-200 employees,55+,connected to any,0
