,Country,Gender,Company Industry,Age Range,Job seniority,Company Size,Count
97,VNM,Any Gender,Any Company Industry,Any Age Range,Training,11-50 employees,5200
98,VNM,Any Gender,Any Company Industry,Any Age Range,Training,2-10 employees,3400
99,VNM,Any Gender,Any Company Industry,Any Age Range,Training,Myself Only,1200
100,VNM,Any Gender,Any Company Industry,Any Age Range,Unpaid,Any Company Size,12000
101,VNM,Any Gender,Any Company Industry,Any Age Range,Unpaid,"10,001+ employees",1900
102,VNM,Any Gender,Any Company Industry,Any Age Range,Unpaid,"5001-10,000 employees",0
103,VNM,Any Gender,Any Company Industry,Any Age Range,Unpaid,1001-5000 employees,380
104,VNM,Any Gender,Any Company Industry,Any Age Range,Unpaid,501-1000 employees,0
105,VNM,Any Gender,Any Company Industry,Any Age Range,Unpaid,201-500 employees,0
106,VNM,Any Gender,Any Company Industry,Any Age Range,Unpaid,51-200 employees,400
107,VNM,Any Gender,Any Company Industry,Any Age Range,Unpaid,11-50 employees,410
108,VNM,Any Gender,Any Company Industry,Any Age Range,Unpaid,2-10 employees,590
109,VNM,Any Gender,Any Company Industry,Any Age Range,Unpaid,Myself Only,430
110,VNM,Any Gender,Any Company Industry,55+,Any Job Seniority,Any Company Size,11000
111,VNM,Any Gender,Any Company Industry,55+,Any Job Seniority,"10,001+ employees",720
112,VNM,Any Gender,Any Company Industry,55+,Any Job Seniority,"5001-10,000 employees",0
113,VNM,Any Gender,Any Company Industry,55+,Any Job Seniority,1001-5000 employees,520
114,VNM,Any Gender,Any Company Industry,55+,Any Job Seniority,501-1000 employees,310
115,VNM,Any Gender,Any Company Industry,55+,Any Job Seniority,201-500 employees,380
116,VNM,Any Gender,Any Company Industry,55+,Any Job Seniority,51-200 employees,510
117,VNM,Any Gender,Any Company Industry,55+,Any Job Seniority,11-50 employees,480
118,VNM,Any Gender,Any Company Industry,55+,Any Job Seniority,2-10 employees,370
119,VNM,Any Gender,Any Company Industry,55+,Any Job Seniority,Myself Only,0
120,VNM,Any Gender,Any Company Industry,55+,Owner,Any Company Size,620
121,VNM,Any Gender,Any Company Industry,55+,Owner,"10,001+ employees",0
122,VNM,Any Gender,Any Company Industry,55+,Owner,"5001-10,000 employees",0
123,VNM,Any Gender,Any Company Industry,55+,Owner,1001-5000 employees,0
124,VNM,Any Gender,Any Company Industry,55+,Owner,501-1000 employees,0
125,VNM,Any Gender,Any Company Industry,55+,Owner,201-500 employees,0
126,VNM,Any Gender,Any Company Industry,55+,Owner,51-200 employees,0
