0,1,2,3,4,5
GBR,IT,25 to 34,Unpaid,201-500 employees,460
GBR,IT,25 to 34,Unpaid,51-200 employees,750
GBR,IT,25 to 34,Unpaid,11-50 employees,1100
GBR,IT,25 to 34,Unpaid,2-10 employees,1700
GBR,IT,25 to 34,Unpaid,Myself Only,3100
GBR,IT,18 to 24,Owner,"10,001+ employees",760
GBR,IT,18 to 24,Owner,"5001-10,000 employees",0
GBR,IT,18 to 24,Owner,1001-5000 employees,360
GBR,IT,18 to 24,Owner,501-1000 employees,0
GBR,IT,18 to 24,Owner,201-500 employees,0
GBR,IT,18 to 24,Owner,51-200 employees,430
GBR,IT,18 to 24,Owner,11-50 employees,740
GBR,IT,18 to 24,Owner,2-10 employees,1500
GBR,IT,18 to 24,Owner,Myself Only,320
GBR,IT,18 to 24,Partner,"10,001+ employees",0
GBR,IT,18 to 24,Partner,"5001-10,000 employees",0
GBR,IT,18 to 24,Partner,1001-5000 employees,0
GBR,IT,18 to 24,Partner,501-1000 employees,0
GBR,IT,18 to 24,Partner,201-500 employees,0
GBR,IT,18 to 24,Partner,51-200 employees,0
GBR,IT,18 to 24,Partner,11-50 employees,0
GBR,IT,18 to 24,Partner,2-10 employees,0
GBR,IT,18 to 24,Partner,Myself Only,0
GBR,IT,18 to 24,CXO,"10,001+ employees",720
GBR,IT,18 to 24,CXO,"5001-10,000 employees",0
GBR,IT,18 to 24,CXO,1001-5000 employees,0
GBR,IT,18 to 24,CXO,501-1000 employees,0
GBR,IT,18 to 24,CXO,201-500 employees,0
GBR,IT,18 to 24,CXO,51-200 employees,0
GBR,IT,18 to 24,CXO,11-50 employees,520
GBR,IT,18 to 24,CXO,2-10 employees,780
GBR,IT,18 to 24,CXO,Myself Only,0
GBR,IT,18 to 24,VP,"10,001+ employees",680
GBR,IT,18 to 24,VP,"5001-10,000 employees",0
GBR,IT,18 to 24,VP,1001-5000 employees,0
GBR,IT,18 to 24,VP,501-1000 employees,0
GBR,IT,18 to 24,VP,201-500 employees,0
GBR,IT,18 to 24,VP,51-200 employees,0
GBR,IT,18 to 24,VP,11-50 employees,400
GBR,IT,18 to 24,VP,2-10 employees,450
GBR,IT,18 to 24,VP,Myself Only,0
GBR,IT,18 to 24,Director,"10,001+ employees",1400
GBR,IT,18 to 24,Director,"5001-10,000 employees",0
GBR,IT,18 to 24,Director,1001-5000 employees,600
GBR,IT,18 to 24,Director,501-1000 employees,0
GBR,IT,18 to 24,Director,201-500 employees,380
GBR,IT,18 to 24,Director,51-200 employees,700
GBR,IT,18 to 24,Director,11-50 employees,1200
GBR,IT,18 to 24,Director,2-10 employees,1400
GBR,IT,18 to 24,Director,Myself Only,0
GBR,IT,18 to 24,Manager,"10,001+ employees",3600
GBR,IT,18 to 24,Manager,"5001-10,000 employees",380
GBR,IT,18 to 24,Manager,1001-5000 employees,860
GBR,IT,18 to 24,Manager,501-1000 employees,330
GBR,IT,18 to 24,Manager,201-500 employees,540
GBR,IT,18 to 24,Manager,51-200 employees,830
GBR,IT,18 to 24,Manager,11-50 employees,1100
GBR,IT,18 to 24,Manager,2-10 employees,1000
GBR,IT,18 to 24,Manager,Myself Only,0
GBR,IT,18 to 24,Senior,"10,001+ employees",14000
GBR,IT,18 to 24,Senior,"5001-10,000 employees",1800
GBR,IT,18 to 24,Senior,1001-5000 employees,4300
GBR,IT,18 to 24,Senior,501-1000 employees,1700
GBR,IT,18 to 24,Senior,201-500 employees,2700
GBR,IT,18 to 24,Senior,51-200 employees,4600
GBR,IT,18 to 24,Senior,11-50 employees,5600
GBR,IT,18 to 24,Senior,2-10 employees,3800
GBR,IT,18 to 24,Senior,Myself Only,630
GBR,IT,18 to 24,Entry,"10,001+ employees",28000
GBR,IT,18 to 24,Entry,"5001-10,000 employees",2600
GBR,IT,18 to 24,Entry,1001-5000 employees,7900
GBR,IT,18 to 24,Entry,501-1000 employees,2900
GBR,IT,18 to 24,Entry,201-500 employees,4800
GBR,IT,18 to 24,Entry,51-200 employees,7700
GBR,IT,18 to 24,Entry,11-50 employees,10000
GBR,IT,18 to 24,Entry,2-10 employees,7300
GBR,IT,18 to 24,Entry,Myself Only,2500
GBR,IT,18 to 24,Training,"10,001+ employees",1400
GBR,IT,18 to 24,Training,"5001-10,000 employees",0
GBR,IT,18 to 24,Training,1001-5000 employees,360
GBR,IT,18 to 24,Training,501-1000 employees,0
GBR,IT,18 to 24,Training,201-500 employees,0
GBR,IT,18 to 24,Training,51-200 employees,370
GBR,IT,18 to 24,Training,11-50 employees,600
GBR,IT,18 to 24,Training,2-10 employees,370
GBR,IT,18 to 24,Training,Myself Only,0
GBR,IT,18 to 24,Unpaid,"10,001+ employees",780
GBR,IT,18 to 24,Unpaid,"5001-10,000 employees",0
GBR,IT,18 to 24,Unpaid,1001-5000 employees,0
GBR,IT,18 to 24,Unpaid,501-1000 employees,0
GBR,IT,18 to 24,Unpaid,201-500 employees,0
GBR,IT,18 to 24,Unpaid,51-200 employees,0
GBR,IT,18 to 24,Unpaid,11-50 employees,0
GBR,IT,18 to 24,Unpaid,2-10 employees,0
GBR,IT,18 to 24,Unpaid,Myself Only,340
