Country,Gender,Age Range,Job seniority,Company Size,Excluded Company Industry,Count
PHL,Any Gender,Any Age Range,CXO,501-1000 employees,IT,2000
PHL,Any Gender,Any Age Range,CXO,201-500 employees,Neither IT nor Finance,2200
PHL,Any Gender,Any Age Range,CXO,201-500 employees,Finance,2700
PHL,Any Gender,Any Age Range,CXO,201-500 employees,IT,2500
PHL,Any Gender,Any Age Range,CXO,51-200 employees,Neither IT nor Finance,3700
PHL,Any Gender,Any Age Range,CXO,51-200 employees,Finance,4700
PHL,Any Gender,Any Age Range,CXO,51-200 employees,IT,4100
PHL,Any Gender,Any Age Range,CXO,11-50 employees,Neither IT nor Finance,5300
PHL,Any Gender,Any Age Range,CXO,11-50 employees,Finance,7100
PHL,Any Gender,Any Age Range,CXO,11-50 employees,IT,5800
PHL,Any Gender,Any Age Range,CXO,2-10 employees,Neither IT nor Finance,4600
PHL,Any Gender,Any Age Range,CXO,2-10 employees,Finance,6100
PHL,Any Gender,Any Age Range,CXO,2-10 employees,IT,5000
PHL,Any Gender,Any Age Range,CXO,Myself Only,Neither IT nor Finance,410
PHL,Any Gender,Any Age Range,CXO,Myself Only,Finance,540
PHL,Any Gender,Any Age Range,CXO,Myself Only,IT,450
PHL,Any Gender,Any Age Range,VP,Any Company Size,Neither IT nor Finance,64000
PHL,Any Gender,Any Age Range,VP,Any Company Size,Finance,73000
PHL,Any Gender,Any Age Range,VP,Any Company Size,IT,72000
PHL,Any Gender,Any Age Range,VP,"10,001+ employees",Neither IT nor Finance,5800
PHL,Any Gender,Any Age Range,VP,"10,001+ employees",Finance,7600
PHL,Any Gender,Any Age Range,VP,"10,001+ employees",IT,8700
PHL,Any Gender,Any Age Range,VP,"5001-10,000 employees",Neither IT nor Finance,1100
PHL,Any Gender,Any Age Range,VP,"5001-10,000 employees",Finance,1500
PHL,Any Gender,Any Age Range,VP,"5001-10,000 employees",IT,1600
PHL,Any Gender,Any Age Range,VP,1001-5000 employees,Neither IT nor Finance,3100
PHL,Any Gender,Any Age Range,VP,1001-5000 employees,Finance,3500
PHL,Any Gender,Any Age Range,VP,1001-5000 employees,IT,4400
PHL,Any Gender,Any Age Range,VP,501-1000 employees,Neither IT nor Finance,2200
PHL,Any Gender,Any Age Range,VP,501-1000 employees,Finance,2600
PHL,Any Gender,Any Age Range,VP,501-1000 employees,IT,2700
PHL,Any Gender,Any Age Range,VP,201-500 employees,Neither IT nor Finance,2800
PHL,Any Gender,Any Age Range,VP,201-500 employees,Finance,3400
PHL,Any Gender,Any Age Range,VP,201-500 employees,IT,3100
PHL,Any Gender,Any Age Range,VP,51-200 employees,Neither IT nor Finance,4100
PHL,Any Gender,Any Age Range,VP,51-200 employees,Finance,5100
PHL,Any Gender,Any Age Range,VP,51-200 employees,IT,4600
PHL,Any Gender,Any Age Range,VP,11-50 employees,Neither IT nor Finance,5100
PHL,Any Gender,Any Age Range,VP,11-50 employees,Finance,6500
PHL,Any Gender,Any Age Range,VP,11-50 employees,IT,5600
PHL,Any Gender,Any Age Range,VP,2-10 employees,Neither IT nor Finance,3900
PHL,Any Gender,Any Age Range,VP,2-10 employees,Finance,4700
PHL,Any Gender,Any Age Range,VP,2-10 employees,IT,4300
PHL,Any Gender,Any Age Range,VP,Myself Only,Neither IT nor Finance,0
PHL,Any Gender,Any Age Range,VP,Myself Only,Finance,380
PHL,Any Gender,Any Age Range,VP,Myself Only,IT,320
PHL,Any Gender,Any Age Range,Director,Any Company Size,Neither IT nor Finance,130000
PHL,Any Gender,Any Age Range,Director,Any Company Size,Finance,140000
PHL,Any Gender,Any Age Range,Director,Any Company Size,IT,140000
PHL,Any Gender,Any Age Range,Director,"10,001+ employees",Neither IT nor Finance,16000
PHL,Any Gender,Any Age Range,Director,"10,001+ employees",Finance,20000
PHL,Any Gender,Any Age Range,Director,"10,001+ employees",IT,20000
PHL,Any Gender,Any Age Range,Director,"5001-10,000 employees",Neither IT nor Finance,3800
PHL,Any Gender,Any Age Range,Director,"5001-10,000 employees",Finance,5800
PHL,Any Gender,Any Age Range,Director,"5001-10,000 employees",IT,5500
PHL,Any Gender,Any Age Range,Director,1001-5000 employees,Neither IT nor Finance,10000
PHL,Any Gender,Any Age Range,Director,1001-5000 employees,Finance,12000
PHL,Any Gender,Any Age Range,Director,1001-5000 employees,IT,14000
PHL,Any Gender,Any Age Range,Director,501-1000 employees,Neither IT nor Finance,6700
PHL,Any Gender,Any Age Range,Director,501-1000 employees,Finance,7700
PHL,Any Gender,Any Age Range,Director,501-1000 employees,IT,8000
PHL,Any Gender,Any Age Range,Director,201-500 employees,Neither IT nor Finance,8300
PHL,Any Gender,Any Age Range,Director,201-500 employees,Finance,9500
PHL,Any Gender,Any Age Range,Director,201-500 employees,IT,9000
PHL,Any Gender,Any Age Range,Director,51-200 employees,Neither IT nor Finance,9300
PHL,Any Gender,Any Age Range,Director,51-200 employees,Finance,11000
PHL,Any Gender,Any Age Range,Director,51-200 employees,IT,10000
PHL,Any Gender,Any Age Range,Director,11-50 employees,Neither IT nor Finance,9300
PHL,Any Gender,Any Age Range,Director,11-50 employees,Finance,12000
PHL,Any Gender,Any Age Range,Director,11-50 employees,IT,10000
PHL,Any Gender,Any Age Range,Director,2-10 employees,Neither IT nor Finance,6600
PHL,Any Gender,Any Age Range,Director,2-10 employees,Finance,8100
PHL,Any Gender,Any Age Range,Director,2-10 employees,IT,7200
PHL,Any Gender,Any Age Range,Director,Myself Only,Neither IT nor Finance,790
PHL,Any Gender,Any Age Range,Director,Myself Only,Finance,970
PHL,Any Gender,Any Age Range,Director,Myself Only,IT,850
PHL,Any Gender,Any Age Range,Manager,Any Company Size,Neither IT nor Finance,300000
PHL,Any Gender,Any Age Range,Manager,Any Company Size,Finance,350000
PHL,Any Gender,Any Age Range,Manager,Any Company Size,IT,340000
PHL,Any Gender,Any Age Range,Manager,"10,001+ employees",Neither IT nor Finance,47000
PHL,Any Gender,Any Age Range,Manager,"10,001+ employees",Finance,62000
PHL,Any Gender,Any Age Range,Manager,"10,001+ employees",IT,56000
PHL,Any Gender,Any Age Range,Manager,"5001-10,000 employees",Neither IT nor Finance,10000
PHL,Any Gender,Any Age Range,Manager,"5001-10,000 employees",Finance,14000
PHL,Any Gender,Any Age Range,Manager,"5001-10,000 employees",IT,13000
PHL,Any Gender,Any Age Range,Manager,1001-5000 employees,Neither IT nor Finance,25000
PHL,Any Gender,Any Age Range,Manager,1001-5000 employees,Finance,29000
PHL,Any Gender,Any Age Range,Manager,1001-5000 employees,IT,30000
PHL,Any Gender,Any Age Range,Manager,501-1000 employees,Neither IT nor Finance,14000
PHL,Any Gender,Any Age Range,Manager,501-1000 employees,Finance,17000
PHL,Any Gender,Any Age Range,Manager,501-1000 employees,IT,17000
PHL,Any Gender,Any Age Range,Manager,201-500 employees,Neither IT nor Finance,17000
PHL,Any Gender,Any Age Range,Manager,201-500 employees,Finance,20000
PHL,Any Gender,Any Age Range,Manager,201-500 employees,IT,19000
PHL,Any Gender,Any Age Range,Manager,51-200 employees,Neither IT nor Finance,19000
PHL,Any Gender,Any Age Range,Manager,51-200 employees,Finance,23000
PHL,Any Gender,Any Age Range,Manager,51-200 employees,IT,21000
PHL,Any Gender,Any Age Range,Manager,11-50 employees,Neither IT nor Finance,19000
PHL,Any Gender,Any Age Range,Manager,11-50 employees,Finance,24000
PHL,Any Gender,Any Age Range,Manager,11-50 employees,IT,20000
PHL,Any Gender,Any Age Range,Manager,2-10 employees,Neither IT nor Finance,13000
PHL,Any Gender,Any Age Range,Manager,2-10 employees,Finance,16000
PHL,Any Gender,Any Age Range,Manager,2-10 employees,IT,14000
PHL,Any Gender,Any Age Range,Manager,Myself Only,Neither IT nor Finance,1800
PHL,Any Gender,Any Age Range,Manager,Myself Only,Finance,2300
PHL,Any Gender,Any Age Range,Manager,Myself Only,IT,2000
PHL,Any Gender,Any Age Range,Senior,Any Company Size,Neither IT nor Finance,980000
PHL,Any Gender,Any Age Range,Senior,Any Company Size,Finance,1200000
PHL,Any Gender,Any Age Range,Senior,Any Company Size,IT,1100000
PHL,Any Gender,Any Age Range,Senior,"10,001+ employees",Neither IT nor Finance,160000
PHL,Any Gender,Any Age Range,Senior,"10,001+ employees",Finance,260000
PHL,Any Gender,Any Age Range,Senior,"10,001+ employees",IT,210000
PHL,Any Gender,Any Age Range,Senior,"5001-10,000 employees",Neither IT nor Finance,28000
PHL,Any Gender,Any Age Range,Senior,"5001-10,000 employees",Finance,41000
PHL,Any Gender,Any Age Range,Senior,"5001-10,000 employees",IT,37000
PHL,Any Gender,Any Age Range,Senior,1001-5000 employees,Neither IT nor Finance,85000
PHL,Any Gender,Any Age Range,Senior,1001-5000 employees,Finance,100000
PHL,Any Gender,Any Age Range,Senior,1001-5000 employees,IT,100000
PHL,Any Gender,Any Age Range,Senior,501-1000 employees,Neither IT nor Finance,47000
PHL,Any Gender,Any Age Range,Senior,501-1000 employees,Finance,60000
PHL,Any Gender,Any Age Range,Senior,501-1000 employees,IT,61000
PHL,Any Gender,Any Age Range,Senior,201-500 employees,Neither IT nor Finance,60000
PHL,Any Gender,Any Age Range,Senior,201-500 employees,Finance,73000
PHL,Any Gender,Any Age Range,Senior,201-500 employees,IT,64000
PHL,Any Gender,Any Age Range,Senior,51-200 employees,Neither IT nor Finance,63000
PHL,Any Gender,Any Age Range,Senior,51-200 employees,Finance,86000
PHL,Any Gender,Any Age Range,Senior,51-200 employees,IT,69000
PHL,Any Gender,Any Age Range,Senior,11-50 employees,Neither IT nor Finance,58000
PHL,Any Gender,Any Age Range,Senior,11-50 employees,Finance,78000
PHL,Any Gender,Any Age Range,Senior,11-50 employees,IT,62000
PHL,Any Gender,Any Age Range,Senior,2-10 employees,Neither IT nor Finance,40000
PHL,Any Gender,Any Age Range,Senior,2-10 employees,Finance,49000
PHL,Any Gender,Any Age Range,Senior,2-10 employees,IT,43000
PHL,Any Gender,Any Age Range,Senior,Myself Only,Neither IT nor Finance,8000
PHL,Any Gender,Any Age Range,Senior,Myself Only,Finance,10000
PHL,Any Gender,Any Age Range,Senior,Myself Only,IT,8800
PHL,Any Gender,Any Age Range,Entry,Any Company Size,Neither IT nor Finance,2300000
PHL,Any Gender,Any Age Range,Entry,Any Company Size,Finance,2700000
PHL,Any Gender,Any Age Range,Entry,Any Company Size,IT,2500000
PHL,Any Gender,Any Age Range,Entry,"10,001+ employees",Neither IT nor Finance,310000
PHL,Any Gender,Any Age Range,Entry,"10,001+ employees",Finance,410000
PHL,Any Gender,Any Age Range,Entry,"10,001+ employees",IT,350000
PHL,Any Gender,Any Age Range,Entry,"5001-10,000 employees",Neither IT nor Finance,52000
PHL,Any Gender,Any Age Range,Entry,"5001-10,000 employees",Finance,73000
PHL,Any Gender,Any Age Range,Entry,"5001-10,000 employees",IT,68000
PHL,Any Gender,Any Age Range,Entry,1001-5000 employees,Neither IT nor Finance,140000
PHL,Any Gender,Any Age Range,Entry,1001-5000 employees,Finance,170000
PHL,Any Gender,Any Age Range,Entry,1001-5000 employees,IT,160000
PHL,Any Gender,Any Age Range,Entry,501-1000 employees,Neither IT nor Finance,74000
PHL,Any Gender,Any Age Range,Entry,501-1000 employees,Finance,98000
PHL,Any Gender,Any Age Range,Entry,501-1000 employees,IT,81000
PHL,Any Gender,Any Age Range,Entry,201-500 employees,Neither IT nor Finance,110000
PHL,Any Gender,Any Age Range,Entry,201-500 employees,Finance,130000
PHL,Any Gender,Any Age Range,Entry,201-500 employees,IT,110000
PHL,Any Gender,Any Age Range,Entry,51-200 employees,Neither IT nor Finance,130000
PHL,Any Gender,Any Age Range,Entry,51-200 employees,Finance,160000
PHL,Any Gender,Any Age Range,Entry,51-200 employees,IT,140000
PHL,Any Gender,Any Age Range,Entry,11-50 employees,Neither IT nor Finance,130000
PHL,Any Gender,Any Age Range,Entry,11-50 employees,Finance,170000
PHL,Any Gender,Any Age Range,Entry,11-50 employees,IT,140000
PHL,Any Gender,Any Age Range,Entry,2-10 employees,Neither IT nor Finance,100000
PHL,Any Gender,Any Age Range,Entry,2-10 employees,Finance,130000
PHL,Any Gender,Any Age Range,Entry,2-10 employees,IT,110000
PHL,Any Gender,Any Age Range,Entry,Myself Only,Neither IT nor Finance,28000
PHL,Any Gender,Any Age Range,Entry,Myself Only,Finance,34000
PHL,Any Gender,Any Age Range,Entry,Myself Only,IT,29000
PHL,Any Gender,Any Age Range,Training,Any Company Size,Neither IT nor Finance,70000
PHL,Any Gender,Any Age Range,Training,Any Company Size,Finance,80000
PHL,Any Gender,Any Age Range,Training,Any Company Size,IT,73000
PHL,Any Gender,Any Age Range,Training,"10,001+ employees",Neither IT nor Finance,5800
PHL,Any Gender,Any Age Range,Training,"10,001+ employees",Finance,7500
PHL,Any Gender,Any Age Range,Training,"10,001+ employees",IT,6400
PHL,Any Gender,Any Age Range,Training,"5001-10,000 employees",Neither IT nor Finance,1300
PHL,Any Gender,Any Age Range,Training,"5001-10,000 employees",Finance,1600
PHL,Any Gender,Any Age Range,Training,"5001-10,000 employees",IT,1800
PHL,Any Gender,Any Age Range,Training,1001-5000 employees,Neither IT nor Finance,5700
PHL,Any Gender,Any Age Range,Training,1001-5000 employees,Finance,6100
PHL,Any Gender,Any Age Range,Training,1001-5000 employees,IT,6000
PHL,Any Gender,Any Age Range,Training,501-1000 employees,Neither IT nor Finance,4200
PHL,Any Gender,Any Age Range,Training,501-1000 employees,Finance,4400
PHL,Any Gender,Any Age Range,Training,501-1000 employees,IT,4300
PHL,Any Gender,Any Age Range,Training,201-500 employees,Neither IT nor Finance,4600
PHL,Any Gender,Any Age Range,Training,201-500 employees,Finance,4900
PHL,Any Gender,Any Age Range,Training,201-500 employees,IT,4700
PHL,Any Gender,Any Age Range,Training,51-200 employees,Neither IT nor Finance,4300
PHL,Any Gender,Any Age Range,Training,51-200 employees,Finance,5100
PHL,Any Gender,Any Age Range,Training,51-200 employees,IT,4500
PHL,Any Gender,Any Age Range,Training,11-50 employees,Neither IT nor Finance,5100
PHL,Any Gender,Any Age Range,Training,11-50 employees,Finance,6000
PHL,Any Gender,Any Age Range,Training,11-50 employees,IT,5400
PHL,Any Gender,Any Age Range,Training,2-10 employees,Neither IT nor Finance,3400
PHL,Any Gender,Any Age Range,Training,2-10 employees,Finance,3900
PHL,Any Gender,Any Age Range,Training,2-10 employees,IT,3500
PHL,Any Gender,Any Age Range,Training,Myself Only,Neither IT nor Finance,2100
PHL,Any Gender,Any Age Range,Training,Myself Only,Finance,2800
PHL,Any Gender,Any Age Range,Training,Myself Only,IT,2200
PHL,Any Gender,Any Age Range,Unpaid,Any Company Size,Neither IT nor Finance,86000
PHL,Any Gender,Any Age Range,Unpaid,Any Company Size,Finance,100000
PHL,Any Gender,Any Age Range,Unpaid,Any Company Size,IT,89000
PHL,Any Gender,Any Age Range,Unpaid,"10,001+ employees",Neither IT nor Finance,2400
PHL,Any Gender,Any Age Range,Unpaid,"10,001+ employees",Finance,3000
PHL,Any Gender,Any Age Range,Unpaid,"10,001+ employees",IT,2600
PHL,Any Gender,Any Age Range,Unpaid,"5001-10,000 employees",Neither IT nor Finance,350
PHL,Any Gender,Any Age Range,Unpaid,"5001-10,000 employees",Finance,420
PHL,Any Gender,Any Age Range,Unpaid,"5001-10,000 employees",IT,470
PHL,Any Gender,Any Age Range,Unpaid,1001-5000 employees,Neither IT nor Finance,660
PHL,Any Gender,Any Age Range,Unpaid,1001-5000 employees,Finance,810
PHL,Any Gender,Any Age Range,Unpaid,1001-5000 employees,IT,720
PHL,Any Gender,Any Age Range,Unpaid,501-1000 employees,Neither IT nor Finance,580
PHL,Any Gender,Any Age Range,Unpaid,501-1000 employees,Finance,680
PHL,Any Gender,Any Age Range,Unpaid,501-1000 employees,IT,620
PHL,Any Gender,Any Age Range,Unpaid,201-500 employees,Neither IT nor Finance,890
PHL,Any Gender,Any Age Range,Unpaid,201-500 employees,Finance,960
PHL,Any Gender,Any Age Range,Unpaid,201-500 employees,IT,920
PHL,Any Gender,Any Age Range,Unpaid,51-200 employees,Neither IT nor Finance,2400
PHL,Any Gender,Any Age Range,Unpaid,51-200 employees,Finance,2600
PHL,Any Gender,Any Age Range,Unpaid,51-200 employees,IT,2400
PHL,Any Gender,Any Age Range,Unpaid,11-50 employees,Neither IT nor Finance,3800
PHL,Any Gender,Any Age Range,Unpaid,11-50 employees,Finance,4100
PHL,Any Gender,Any Age Range,Unpaid,11-50 employees,IT,3800
PHL,Any Gender,Any Age Range,Unpaid,2-10 employees,Neither IT nor Finance,3200
PHL,Any Gender,Any Age Range,Unpaid,2-10 employees,Finance,3500
PHL,Any Gender,Any Age Range,Unpaid,2-10 employees,IT,3300
PHL,Any Gender,Any Age Range,Unpaid,Myself Only,Neither IT nor Finance,12000
PHL,Any Gender,Any Age Range,Unpaid,Myself Only,Finance,13000
PHL,Any Gender,Any Age Range,Unpaid,Myself Only,IT,12000
PHL,Any Gender,55+,Any Job Seniority,Any Company Size,Neither IT nor Finance,83000
PHL,Any Gender,55+,Any Job Seniority,Any Company Size,Finance,91000
PHL,Any Gender,55+,Any Job Seniority,Any Company Size,IT,90000
PHL,Any Gender,55+,Any Job Seniority,"10,001+ employees",Neither IT nor Finance,6200
PHL,Any Gender,55+,Any Job Seniority,"10,001+ employees",Finance,7900
PHL,Any Gender,55+,Any Job Seniority,"10,001+ employees",IT,7600
PHL,Any Gender,55+,Any Job Seniority,"5001-10,000 employees",Neither IT nor Finance,1800
PHL,Any Gender,55+,Any Job Seniority,"5001-10,000 employees",Finance,2300
PHL,Any Gender,55+,Any Job Seniority,"5001-10,000 employees",IT,2300
PHL,Any Gender,55+,Any Job Seniority,1001-5000 employees,Neither IT nor Finance,5000
PHL,Any Gender,55+,Any Job Seniority,1001-5000 employees,Finance,5400
PHL,Any Gender,55+,Any Job Seniority,1001-5000 employees,IT,5800
PHL,Any Gender,55+,Any Job Seniority,501-1000 employees,Neither IT nor Finance,2700
PHL,Any Gender,55+,Any Job Seniority,501-1000 employees,Finance,3100
PHL,Any Gender,55+,Any Job Seniority,501-1000 employees,IT,3400
PHL,Any Gender,55+,Any Job Seniority,201-500 employees,Neither IT nor Finance,3200
PHL,Any Gender,55+,Any Job Seniority,201-500 employees,Finance,3700
